game_id,date,fulltime,homegoals,awaygoals
1,9/12/20,A,0,3
2,9/12/20,H,1,0
3,9/12/20,H,4,3
4,9/12/20,A,0,2
5,9/13/20,A,0,3
6,9/13/20,A,0,1
7,9/14/20,A,1,3
8,9/14/20,A,0,2
9,9/19/20,H,5,2
10,9/19/20,H,4,3
11,9/19/20,A,1,3
12,9/19/20,H,2,1
13,9/20/20,A,2,5
14,9/20/20,A,0,3
15,9/20/20,A,0,2
16,9/20/20,H,4,2
17,9/21/20,H,1,0
18,9/21/20,A,1,3
19,9/26/20,A,2,3
20,9/26/20,A,1,2
21,9/26/20,D,3,3
22,9/26/20,A,0,1
23,9/27/20,A,0,1
24,9/27/20,D,1,1
25,9/27/20,A,2,5
26,9/27/20,H,4,0
27,9/28/20,A,0,3
28,9/28/20,H,3,1
29,10/3/20,H,4,0
30,10/3/20,H,4,2
31,10/3/20,D,1,1
32,10/3/20,H,3,1
33,10/4/20,A,0,3
34,10/4/20,H,2,0
35,10/4/20,H,2,1
36,10/4/20,H,1,0
37,10/4/20,A,1,6
38,10/4/20,H,7,2
39,10/17/20,D,2,2
40,10/17/20,D,3,3
41,10/17/20,H,1,0
42,10/17/20,A,1,4
43,10/18/20,D,1,1
44,10/18/20,D,1,1
45,10/18/20,D,3,3
46,10/18/20,A,0,1
47,10/19/20,D,0,0
48,10/19/20,A,0,1
49,10/23/20,A,0,3
50,10/24/20,D,1,1
51,10/24/20,A,1,2
52,10/24/20,D,0,0
53,10/24/20,H,2,1
54,10/25/20,H,2,0
55,10/25/20,D,1,1
56,10/25/20,A,0,1
57,10/26/20,D,1,1
58,10/26/20,A,0,1
59,10/30/20,H,2,0
60,10/31/20,A,0,1
61,10/31/20,A,0,3
62,10/31/20,H,2,1
63,11/1/20,A,3,4
64,11/1/20,H,2,1
65,11/1/20,A,0,1
66,11/1/20,H,2,1
67,11/2/20,H,2,0
68,11/2/20,A,1,4
69,11/6/20,D,0,0
70,11/6/20,H,2,0
71,11/7/20,A,1,3
72,11/7/20,H,4,1
73,11/7/20,H,4,1
74,11/7/20,H,1,0
75,11/8/20,A,0,1
76,11/8/20,H,1,0
77,11/8/20,D,1,1
78,11/8/20,A,0,3
79,11/21/20,A,0,2
80,11/21/20,A,1,2
81,11/21/20,H,2,0
82,11/21/20,H,1,0
83,11/22/20,A,2,3
84,11/22/20,A,0,1
85,11/22/20,D,0,0
86,11/22/20,H,3,0
87,11/23/20,H,1,0
88,11/23/20,D,1,1
89,11/27/20,A,0,2
90,11/28/20,D,1,1
91,11/28/20,H,5,0
92,11/28/20,A,0,1
93,11/28/20,H,1,0
94,11/29/20,A,2,3
95,11/29/20,D,0,0
96,11/29/20,A,1,2
