team_id,stadium
Chelsea,Stamford Bridge
Manchester City,Etihad Stadium
Manchester United,Old Trafford
Liverpool FC,Anfield
Leicester City,King Power Stadium
West Ham United,London Stadium
Tottenham Hotspur,Tottenham Hotspur Stadium
Arsenal,Emirates Stadium
Leeds United,Elland Road
Everton,Goodison Park
Aston Villa,Villa Park
Newcastle United,St James' Park
Wolverhampton Wanderers,Molineux Stadium
Crystal Palace,Selhurst Park Stadium
Southampton,Saint Mary's Stadium
Brighton,Falmer Stadium
Burnley,Turf Moor
Fulham,Craven Cottage
West Bromwich Albion,West Bromwich Albion Football Club
Sheffield United,Bramall Lane
